text,intent,response
"Which medicine helps with fever blisters?","medicine_advice","Antiviral creams or tablets may help with fever blisters. Start treatment early for best results."
"Can I use aspirin for swelling?","medicine_advice","Aspirin is not ideal for swelling. Ibuprofen is usually more effective."
"Should I take probiotics daily?","medicine_advice","Yes, probiotics can be taken daily if tolerated. They may help gut health."
"Is ibuprofen good for back pain?","medicine_advice","Yes, ibuprofen can relieve back pain by reducing inflammation. Use as directed."
"Can I take antibiotics for skin rash?","medicine_advice","Not all rashes need antibiotics. A doctor should evaluate before prescribing."
"What medicine helps with cough?","medicine_advice","Cough syrups, honey, or lozenges may help. Antibiotics are only for bacterial causes."
"Is paracetamol safe with alcohol?","medicine_advice","Combining paracetamol with alcohol can harm the liver. Avoid mixing."
"Should I use cream for rashes?","medicine_advice","Yes, hydrocortisone or soothing creams may help mild rashes. Severe cases need doctor care."
"Which pill helps with insomnia?","medicine_advice","Prescription sleep pills may help insomnia short-term, but lifestyle changes are best."
"Is it safe to take tablets late?","medicine_advice","It depends on the medicine. Some must be taken at fixed times. Follow instructions carefully."
"Can I use nasal spray for allergies?","medicine_advice","Yes, antihistamine or steroid sprays may help allergies, but avoid overuse."
"Should I take aspirin daily?","medicine_advice","Daily aspirin should only be taken if prescribed by your doctor."
"What medicine reduces stress?","medicine_advice","Doctors may prescribe anti-anxiety medicines, but stress management and lifestyle changes help too."
"Is ibuprofen safe long-term?","medicine_advice","Long-term use may harm the stomach, kidneys, or heart. Only use under doctor supervision."
"Which drug helps with depression?","medicine_advice","Doctors may prescribe antidepressants, but therapy and lifestyle changes also play key roles."
"Can I use antibiotics for acne?","medicine_advice","Yes, antibiotics may be prescribed for acne, but long-term use needs monitoring."
"Is paracetamol safe for elderly?","medicine_advice","Yes, paracetamol is generally safe for elderly people in correct doses. Avoid exceeding limits."
"Should I use ointment for cuts?","medicine_advice","Yes, antiseptic ointments may help minor cuts heal faster. Larger wounds need medical care."
"What medicine is best for flu?","medicine_advice","Antivirals may help if prescribed early. Rest, fluids, and fever relievers are key."
"Can I take cough syrup twice daily?","medicine_advice","Yes, if the label says so. Always follow the dosing instructions carefully."
"Is it safe to mix antibiotics?","medicine_advice","No, mixing antibiotics without doctor supervision can be dangerous."
"Which pill reduces swelling?","medicine_advice","Ibuprofen or other NSAIDs may reduce swelling. Use only as directed."
"Should I take painkillers before exercise?","medicine_advice","No, avoid painkillers before exercise as they may mask injuries."
"Is ibuprofen safe for period pain?","medicine_advice","Yes, ibuprofen may help with period pain. Use as directed on the label."
"Can I use cream for insect bites?","medicine_advice","Yes, soothing creams or antihistamine gels may reduce itching and swelling."
"Which medicine helps sore muscles?","medicine_advice","Pain relief gels or NSAIDs may help sore muscles. Rest and hydration also help."
"Is aspirin safe for long use?","medicine_advice","Long-term aspirin use may increase bleeding risk. Only take under medical supervision."
"Should I use tablets for stress?","medicine_advice","Tablets may help stress only under medical guidance. Try stress management first."
"Can I take paracetamol daily?","medicine_advice","Yes, but not more than recommended doses. Avoid long-term use without doctor guidance."
"What medicine helps with backache?","medicine_advice","NSAIDs like ibuprofen may help with backache. Seek medical care if pain persists."
"Is it safe to take strong painkillers?","medicine_advice","Strong painkillers can cause dependence. Only use them if prescribed."
"Can I use antibiotics for stomach pain?","medicine_advice","Most stomach pain is not treated with antibiotics. Only take if a doctor confirms infection."
"Which pill helps with fatigue?","medicine_advice","No specific pill cures fatigue. Treat underlying causes like sleep, diet, or anemia."
"Is ibuprofen safe for fever?","medicine_advice","Yes, ibuprofen is effective for reducing fever. Take with food."
"Should I take medicine daily?","medicine_advice","Only take daily medicines if prescribed. Avoid unnecessary daily medication."
"What tablets are good for sleep?","medicine_advice","Doctors may prescribe sleep tablets short-term. Try natural sleep hygiene first."
"Can I take painkillers before bed?","medicine_advice","Yes, but only if needed. Choose non-stimulant painkillers like paracetamol."
"Is paracetamol safe every day?","medicine_advice","Paracetamol is safe daily if not exceeding dosage. Avoid long-term use without medical advice."
"Should I use ointment for pimples?","medicine_advice","Topical acne ointments may help pimples. Avoid overuse."
"What drug helps with high BP?","medicine_advice","Doctors may prescribe antihypertensives like ACE inhibitors or beta-blockers. Never self-medicate."
"Can I use aspirin with alcohol?","medicine_advice","No, mixing aspirin and alcohol increases stomach bleeding risk."
"Is it safe to take medicine late?","medicine_advice","Depends on the medicine. Some can be taken late, others lose effectiveness. Follow instructions."
"What medicine helps with indigestion?","medicine_advice","Antacids may help with indigestion. Frequent issues should be evaluated by a doctor."
"Can I take vitamins with antibiotics?","medicine_advice","Yes, but separate them by a few hours for best effect."
"Is ibuprofen safe with paracetamol?","medicine_advice","Yes, they can be safely combined or alternated if used within dose limits."
"Should I take supplements for energy?","medicine_advice","Supplements may help if you have deficiencies. A balanced diet and sleep are more effective."
"What pill helps with anxiety attacks?","medicine_advice","Doctors may prescribe fast-acting medicines, but therapy is safer long-term."
"Is paracetamol good for body pain?","medicine_advice","Yes, paracetamol is effective for mild body pain. Stronger pain may need NSAIDs."
"Can I use antibiotics for fever?","medicine_advice","Fever alone doesn’t require antibiotics. Only bacterial infections need them."
"Which medicine helps for depression?","medicine_advice","Doctors may prescribe antidepressants, but counseling and lifestyle changes are important."
"Is it safe to take too much medicine?","medicine_advice","No, overdosing can be very dangerous. Always stick to prescribed doses."
"Can I use aspirin for blood thinning?","medicine_advice","Yes, aspirin may thin blood but only if prescribed by a doctor
"Should I use herbal pills daily?","medicine_advice","Some herbal pills may be safe daily, but always check interactions and safety with a doctor."
"What drug helps with muscle pain?","medicine_advice","NSAIDs like ibuprofen or topical gels may help muscle pain. Use as directed."
"Is ibuprofen safe after surgery?","medicine_advice","It depends on the surgery. Sometimes paracetamol is safer. Always follow surgeon’s advice."
"Can I take painkillers every day?","medicine_advice","Daily painkiller use may cause side effects. Only take them long-term under doctor supervision."
"What are the symptoms of diabetes?",symptom_check,"Common symptoms of diabetes include frequent urination, excessive thirst, unexplained weight loss, extreme fatigue, blurred vision, and slow-healing sores."
"How do I know if I have the flu?",symptom_check,"Flu symptoms typically include fever, chills, body aches, fatigue, cough, sore throat, and sometimes vomiting or diarrhea."
"What are the early signs of asthma?",symptom_check,"Early signs of asthma include wheezing, shortness of breath, chest tightness, and frequent coughing, especially at night or after exercise."
"Can you tell me symptoms of dengue?",symptom_check,"Dengue symptoms include high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding."
"How do I recognize if I have anemia?",symptom_check,"Symptoms of anemia include fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness, and cold hands and feet."
"What are the signs of dehydration?",symptom_check,"Dehydration signs include dry mouth, extreme thirst, dark yellow urine, fatigue, dizziness, and less frequent urination."
"How can I tell if I have high blood pressure?",symptom_check,"High blood pressure often has no clear symptoms, but sometimes it may cause headaches, shortness of breath, nosebleeds, or dizziness."
"What are the symptoms of COVID-19?",symptom_check,"COVID-19 symptoms include fever, cough, fatigue, loss of taste or smell, shortness of breath, sore throat, and body aches."
"How do I know if I have pneumonia?",symptom_check,"Pneumonia symptoms include cough with phlegm, fever, chills, shortness of breath, chest pain, and fatigue."
"What are the first signs of tuberculosis?",symptom_check,"Early signs of TB include persistent cough for more than 2 weeks, fever, night sweats, weight loss, and fatigue."
"What are the symptoms of food poisoning?",symptom_check,"Food poisoning can cause nausea, vomiting, diarrhea, abdominal cramps, fever, and weakness."
"How can I recognize a migraine?",symptom_check,"Migraine symptoms include severe headache, sensitivity to light and sound, nausea, vomiting, and visual disturbances."
"What are the warning signs of stroke?",symptom_check,"Warning signs include sudden numbness or weakness, especially on one side of the body, confusion, trouble speaking, vision problems, and severe headache."
"How do I know if I have a kidney infection?",symptom_check,"Kidney infection symptoms include fever, chills, back or side pain, frequent urination, burning sensation while urinating, and nausea."
"What are the signs of a heart attack?",symptom_check,"Signs of a heart attack include chest pain or pressure, pain in the arm, jaw, or back, shortness of breath, nausea, and cold sweats."
"What are the symptoms of appendicitis?",symptom_check,"Appendicitis symptoms include sharp abdominal pain starting near the belly button, nausea, vomiting, loss of appetite, and fever."
"How do I know if I have chickenpox?",symptom_check,"Chickenpox symptoms include itchy red rash, small fluid-filled blisters, fever, fatigue, and loss of appetite."
